epoch,sample_idx,image_path,total_loss,box_loss,cls_loss,dfl_loss
1,1016,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (56).jpg,7.316449522972107,0.6905916929244995,1.0614653825759888,1.0708527565002441
1,1017,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (57).jpg,5.900861948728561,0.5345053672790527,1.1591013669967651,0.8750140070915222
1,1018,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (58).jpg,11.186626195907593,1.0816020965576172,1.3979229927062988,1.583765983581543
1,1019,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (59).jpg,11.418729841709137,1.1303733587265015,1.8011808395385742,1.3602261543273926
1,1020,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (6).jpg,10.125977456569672,0.9901593923568726,1.6625330448150635,1.2456769943237305
1,1021,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (60).jpg,10.852848410606384,1.1270402669906616,1.361169695854187,1.1463077068328857
1,1022,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (61).jpg,6.646079272031784,0.5106363892555237,1.9857819080352783,1.2156102657318115
1,1023,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (62).jpg,17.16060709953308,1.7455627918243408,2.3328869342803955,1.9349617958068848
1,1024,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (63).jpg,14.585142135620117,1.2227891683578491,1.988770604133606,2.946558713912964
1,1025,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (65).jpg,8.593758314847946,0.8267082571983337,1.1744847297668457,1.2041360139846802
1,1026,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (66).jpg,9.985673576593399,0.8781067728996277,2.5327444076538086,1.4223337173461914
1,1027,/home/mml/workspace/ultralytics/datasets/african-wildlife/images/train/4 (67).jpg,10.827113032341003,0.9825787544250488,2.0117921829223633,1.6345841884613037
